eo,han
stel-,
strang-,
strat-,
streĉ-,
stud-,
student-,
stult-,
sub,
subit-,
sud-,
sufer-,
sufiĉ-,
sukces-,
suker-,
sum-,
sun-,陽
super,
supoz-,
supr-,
sur,
ŝ,
ŝaf-,羊
ŝajn-,
ŝanc-,
ŝanĝ-,變
ŝat-,好
ŝerc-,
ŝip-,
ŝir-,
ŝlos-,
ŝnur-,
ŝrank-,
ŝtat-,
ŝtel-,
ŝtof-,
ŝton-,
ŝtup-,
ŝu-,
ŝut-,
t,
tabl-,
tabul-,
tag-,日
tamen,
tas-,
task-,
taŭg-,
te-,
teatr-,
tegment-,
teknik-,
tekst-,
telefon-,
teler-,
televid-,
tem-,
temp-,
ten-,
teori-,
ter-,
terur-,
tim-,
tir-,
tond-,
tra,
tradici-,
traduk-,
traf-,
trakt-,
tranĉ-,
trankvil-,
trans,
tre,
trink-,飲
tro,
trov-,
tru-,
tuj,
tuk-,
turism-,
turist-,
turn-,
tuŝ-,
tut-,
u,
universal-,
universitat-,
urb-,
util-,
uz-,
v,
vagon-,
valid-,
valor-,
varm-,
vast-,
vek-,
ven-,
vend-,
venk-,
vent-,
ver-,
verd-,
verk-,
verŝ-,
vesper-,
vest-,
veter-,
vetur-,
viand-,
vic-,
vid-,見
vigl-,
vilaĝ-,
vin-,
vintr-,
vir-,
virtual-,
viŝ-,
vitr-,
viv-,
vizaĝ-,
vizit-,
voĉ-,
voj-,
vojaĝ-,
vok-,
vol-,
volv-,
vort-,詞
z,
zorg-,
